f1 f2 x y z length
1 9 -33.03519829 6.099280107 0.5777414935 2.158227011
1 15 -16.34639615 -0.3416389373 0.8261818557 1.434617439
1 22 -8.480569349 -3.085665249 -0.3072511467 1.809202413
1 39 -6.650858684 -3.843310278 -0.05933191959 1.140374222
1 42 -54.53193905 14.47170416 -0.06769676002 0.8266119524
1 -3 -75 21.1574844 4.830293168 7.422519272
2 3 61.21976169 -0.6733424933 -0.5736535955 2.769890301
2 4 30.25300068 7.380683368 -0.2185177627 2.711022381
2 7 1.797953002 14.77984574 0.0216061508 2.31202112
2 10 59.64997704 -0.2488168697 0.31880679 2.002768601
2 14 9.570269531 12.79684619 2.003239878 2.404988496
2 17 52.51978606 1.591411857 -0.3656313545 1.882842757
2 21 37.21948223 5.573810837 -0.02859385318 1.295546811
2 28 14.21768045 11.55998407 0.4355878337 1.439281463
2 35 15.41054555 11.25158325 0.5213155304 1.216595257
2 51 22.66504528 9.359446982 0.1506234578 0.6159253385
2 54 -1.937880895 15.73106037 -1.034871224 2.587161808
2 -5 75 -4.241774798 0.1088883697 7.174479158
3 5 66.40908591 -18.16816037 0.510764544 1.542160157
3 10 60.78864643 0.8121047689 0.0232120753 1.496997868
3 11 64.05535379 -10.24862678 -0.3162868696 2.782748803
4 11 31.35477925 -0.2903516356 -0.7998835587 2.109304706
4 25 30.65712553 4.503507332 -0.5472263831 2.749685328
4 27 29.47411871 12.92595119 0.4150122375 2.702699153
4 48 28.73076614 17.89113917 0.4247313002 1.586156197
5 11 73.74293574 -13.17328437 -0.63917104 2.571886298
5 38 69.77454401 -15.86948185 0.1077735044 1.150733434
5 -5 75 -12.32144196 -0.9181647296 2.49854527
6 28 20.1063214 -14.7895958 -0.6097534624 1.439583589
6 34 13.86837162 -12.25991268 0.3595165537 0.9771196125
6 37 20.81641639 -15.08260287 -0.1563352642 0.9164937079
6 41 27.96101057 -17.99063321 -0.07279451568 0.8957793438
6 45 48.92772049 -26.52018356 -0.3230501827 0.967649727
6 -5 75 -37.0812898 -5.717918245 7.213553016
7 14 2.149699108 13.73165923 0.4899823529 1.357711989
7 25 2.413654819 12.46785074 0.01844685434 2.309280464
7 27 0.2257596955 20.68352015 0.02967340772 2.366880233
7 52 5.235057712 1.761771157 -0.188408752 0.7407722288
7 54 1.841393245 14.16532141 -0.7570849619 0.7346447946
8 13 -57.45358475 -13.15828182 -0.07878692028 2.049125488
8 18 -69.27897751 -10.50168244 -0.4999388822 1.430892973
8 20 -30.57082438 -19.5839938 -0.1781319372 1.446568667
8 24 -54.99962248 -13.70671385 0.01641825933 1.617756621
8 30 -38.61099158 -17.74721028 -0.3809542895 1.156171868
8 50 -61.8671025 -12.26385472 -0.5014393016 0.660961372
8 -3 -75 -9.168061079 -0.5713860119 6.51701451
9 14 -23.85470538 17.27815585 1.693185377 1.404324543
9 16 -27.3919315 12.94223812 1.49873589 2.242030934
9 23 -36.16777252 2.261908041 0.3848461831 1.536556096
9 26 -39.00531479 -1.205735799 0.1419658373 1.112639619
9 32 -31.57222922 7.960461029 0.1019409248 0.7222855954
9 43 -49.48762209 -13.91891413 -1.548633671 1.050156401
10 31 66.59392486 6.304614994 0.05326492419 2.003067814
10 -5 75 14.23794659 -0.2681898066 2.001875995
11 17 55.62888553 -7.71505962 0.1540642546 1.911515665
11 28 15.82342188 4.374860655 0.1505394093 1.442237504
11 36 46.25119038 -4.908784555 0.9206256956 1.155337434
11 38 68.57417515 -11.64052166 0.03913389167 1.151681498
11 -5 75 -13.57993636 -0.1846605597 6.351445483
12 16 -60.24487607 19.77867605 -1.532345953 1.887954884
12 32 -61.92160464 18.38419842 -0.87085052 0.9817902286
12 49 -60.96968365 19.1725042 -1.059243846 1.123842546
12 -3 -75 7.579107547 0.3084679838 1.89211573
13 19 -57.070884 -14.60013247 -0.08225879105 1.908786899
13 43 -57.8201384 -11.77726644 -0.07546153639 1.910399401
13 44 -56.07545881 -18.3504634 -0.09128931329 1.903533811
13 46 -54.91031034 -22.71982721 0.2956067912 1.135312253
14 22 -11.34317612 15.6115039 2.068404494 1.845036215
14 25 -5.647776904 14.78262827 0.5512542632 4.106277777
14 40 -21.65701065 16.91196879 -0.006727089441 1.02964047
14 47 -16.52825712 16.21942436 -0.07767394751 0.7406482999
14 -3 -75 23.78425054 -7.221328107 5.928359441
15 23 -18.9883421 -3.524513294 0.416512407 1.452222704
15 26 -22.70097272 -7.997290951 -0.1591811803 1.489556438
16 22 -10.35303358 9.144369577 1.246692715 1.899507362
16 40 -19.37240901 11.07292902 0.7884550462 1.036769966
16 42 -51.12593083 17.97765143 0.007322413131 0.8291949799
16 47 -14.83841975 9.953034643 -0.0690858408 0.7410690714
16 -3 -75 23.13083066 -0.8560849988 5.865009376
17 31 49.19373263 11.65720506 -0.6715367483 1.366567484
18 19 -70.7396215 -11.63508735 -0.2851525702 1.390345593
18 29 -65.10958896 -7.266393437 -1.11304351 1.392530052
18 43 -67.85962558 -9.400318619 -0.7086532368 1.388989962
18 44 -73.28284603 -13.60853412 0.08882618326 1.41207934
18 -3 -75 -14.94098114 0.341332044 1.386901189
19 20 -31.2032482 -20.24929284 -0.2008629754 1.336483234
19 24 -54.6445679 -15.1235012 -0.007111855654 1.500760571
19 30 -39.28270756 -18.50604078 -0.4448453036 1.049614393
19 50 -61.20881125 -13.70970044 -0.2387862494 0.6419807364
19 -3 -75 -10.7585821 -0.9802617489 5.431162075
20 26 -20.40014041 -8.884608228 0.187430203 1.355971243
20 43 -29.6403083 -18.6051068 -0.1446866497 1.337736156
21 27 41.4496752 9.826776134 -0.01152651832 1.301303045
21 31 44.66666353 13.06108243 0.001452893643 1.294862953
21 33 52.05298145 20.48716301 0.03125407823 1.297567334
21 53 49.1274859 17.54591868 0.01945073672 1.29672242
22 23 -7.824896043 -7.36820759 -0.8513894486 1.868100837
22 25 -11.44660359 16.55275398 1.873423242 1.232676134
22 26 -6.668152417 -14.92350001 -1.811362208 1.951926331
23 34 12.3332609 -14.0952278 0.152267113 0.9846540296
23 37 19.25889183 -16.43897981 -0.005175488973 0.9156873493
23 39 -5.847407033 -8.001258495 -0.3389024105 1.115998416
23 41 27.09306222 -19.09387177 -0.2399124375 0.9055288137
24 43 -55.33478509 -12.36930213 0.03863009762 1.50227011
24 44 -53.66952234 -19.01426139 -0.07172990501 1.494207114
24 46 -52.63482432 -23.12812119 0.2720930175 0.6887029297
25 28 14.77997996 9.043893206 0.3357694039 1.449043795
25 35 16.25795098 8.669972444 0.6891982151 1.227736055
25 40 -22.64481923 19.43663369 -0.3505453383 1.034956101
25 47 -16.97637437 17.88116847 -0.07995137299 0.7401874
25 51 23.9984557 6.504853189 0.6916386324 0.6078366259
27 35 13.4641286 17.18131991 0.1357035297 1.228575999
29 43 -56.20791024 -12.32246363 -1.909081978 0.6550130892
29 -3 -75 -1.553379979 1.745107191 4.4646122
30 43 -37.66225119 -16.67542821 -0.290713789 1.050938467
31 -5 75 3.709925393 -0.2720904444 4.163367351
32 42 -53.50455843 15.52923017 -0.0450681462 0.8162716957
32 49 -69.75339936 21.16325144 0.2576461109 2.246021577
32 -3 -75 23.06753304 1.672226797 4.114145831
33 -5 75 14.60040716 0.1104979657 3.714171947
42 49 -51.94460568 17.13495503 -0.01070934328 0.8125636357
43 50 -62.58658896 -10.6836022 -0.7885087611 0.6414221634
44 50 -59.52477823 -17.40844613 0.4331297323 0.6521709119
44 -3 -75 -13.13508215 0.09266445775 3.682810871
46 -3 -75 -19.27421626 -0.258034103 3.529267777
49 -3 -75 22.34698708 -0.5843186074 3.206412975
53 -5 75 12.9631785 2.162782369 2.54438874
